model_name,epoch,train_accuracy,val_accuracy,train_loss,val_loss
ResNet,0,0.632,0.8237333333333333,1.4922502994537354,0.5755630070527394
ResNet,1,0.8696666666666667,0.8757333333333334,0.41985223445892333,0.3836740536650022
ResNet,2,0.9016666666666666,0.8834666666666666,0.3116559318939845,0.36199093940953414
ResNet,3,0.9168,0.9010666666666667,0.2532586140155792,0.31814023891886073
ResNet,4,0.9244,0.884,0.2293937060991923,0.37445386250217755
ResNet,5,0.9335333333333333,0.8898666666666667,0.19359893840551376,0.36087507399097085
ResNet,6,0.9406666666666667,0.8893333333333333,0.1740652444601059,0.37185959107826155
ResNet,7,0.9478666666666666,0.9016,0.14922598020633063,0.34565375043240687
ResNet,8,0.9488666666666666,0.9170666666666667,0.1519815892378489,0.29160935147857914
ResNet,9,0.9544666666666667,0.9093333333333333,0.13043588444491228,0.32998226424853006
ResNet,10,0.9591333333333333,0.9205333333333333,0.11324485302766164,0.2785411794873575
ResNet,11,0.9680666666666666,0.9138666666666667,0.09243985760907332,0.3031576722537478
ResNet,12,0.9673333333333334,0.9146666666666666,0.09051855080674091,0.29708410595854123
ResNet,13,0.9656,0.9133333333333333,0.09534069250623385,0.3110701092600823
ResNet,14,0.9774,0.9082666666666667,0.06790544765715797,0.37333768451549115
ResNet,15,0.9742,0.9176,0.07355522729257742,0.32769893535164496
ResNet,16,0.9740666666666666,0.9245333333333333,0.0762362095211943,0.29531603872968504
ResNet,17,0.9774666666666667,0.9325333333333333,0.06368092631101609,0.2682022062707072
ResNet,18,0.9835333333333334,0.9234666666666667,0.051884842539081974,0.3359957335202644
ResNet,19,0.9845333333333334,0.9277333333333333,0.04477024432222049,0.31127081620395186
